UserID,R,S,R_l
U2902,N62360 N63970 N42634 N40839,N63970,"['N62360', 'N63970', 'N42634', 'N40839']"
U28460,N64916 N61768 N61022 N1034,N61022,"['N64916', 'N61768', 'N61022', 'N1034']"
U53343,N35815 N50872,N35815,"['N35815', 'N50872']"
U40746,N20495 N6890,N6890,"['N20495', 'N6890']"
U72502,N49685 N42614 N48759,N48759,"['N49685', 'N42614', 'N48759']"
U93095,N7319 N33619,N7319,"['N7319', 'N33619']"
U93919,N27845 N52000 N51398 N41881,N41881,"['N27845', 'N52000', 'N51398', 'N41881']"
U15683,N39115 N51398 N24272 N25764,N24272,"['N39115', 'N51398', 'N24272', 'N25764']"
U92587,N35729 N55689,N55689,"['N35729', 'N55689']"
U1918,N51253 N19661,N51253,"['N51253', 'N19661']"
U60170,N23414 N13930,N23414,"['N23414', 'N13930']"
U23443,N61233 N61740,N61233,"['N61233', 'N61740']"
U48590,N61022 N49279,N49279,"['N61022', 'N49279']"
U37353,N61022 N49279,N49279,"['N61022', 'N49279']"
U46298,N50675 N33619,N33619,"['N50675', 'N33619']"
U64220,N41881 N17739 N50329,N41881,"['N41881', 'N17739', 'N50329']"
U26368,N55689 N35729 N8957,N55689,"['N55689', 'N35729', 'N8957']"
U38678,N54489 N46029 N23414,N54489,"['N54489', 'N46029', 'N23414']"
U64391,N23429 N33619,N23429,"['N23429', 'N33619']"
U47670,N45734 N23535 N50872,N45734,"['N45734', 'N23535', 'N50872']"
U62945,N287 N39010,N39010,"['N287', 'N39010']"
U48910,N45266 N47061,N45266,"['N45266', 'N47061']"
U71662,N40559 N60272 N58660 N8015 N61483,N58660,"['N40559', 'N60272', 'N58660', 'N8015', 'N61483']"
U24164,N55204 N55689 N53585,N53585,"['N55204', 'N55689', 'N53585']"
U19735,N54489 N8191 N46526,N8191,"['N54489', 'N8191', 'N46526']"
U40846,N55689 N7809 N35729 N59981,N35729,"['N55689', 'N7809', 'N35729', 'N59981']"
U36714,N51398 N41881,N41881,"['N51398', 'N41881']"
U90834,N64513 N49279 N61022 N21882,N49279,"['N64513', 'N49279', 'N61022', 'N21882']"
U6959,N40109 N38779 N23446 N29212 N6477,N38779,"['N40109', 'N38779', 'N23446', 'N29212', 'N6477']"
U54610,N61233 N56211 N46917 N63913,N46917,"['N61233', 'N56211', 'N46917', 'N63913']"
U70096,N23446 N38779 N50872,N23446,"['N23446', 'N38779', 'N50872']"
U15475,N35729 N57090 N27581 N33632,N35729,"['N35729', 'N57090', 'N27581', 'N33632']"
U58518,N58363 N63970 N42634 N40839,N63970,"['N58363', 'N63970', 'N42634', 'N40839']"
U78866,N41020 N33619,N33619,"['N41020', 'N33619']"
U69253,N41881 N24272 N41178 N27845,N41881,"['N41881', 'N24272', 'N41178', 'N27845']"
U46642,N35729 N33632 N27581 N49685,N49685,"['N35729', 'N33632', 'N27581', 'N49685']"
U32146,N287 N39010,N287,"['N287', 'N39010']"
U14735,N64513 N21882 N61022 N49279,N61022 N49279,"['N64513', 'N21882', 'N61022', 'N49279']"
U35318,N47061 N35170,N47061,"['N47061', 'N35170']"
U32348,N61022 N57097 N1034 N64916,N1034,"['N61022', 'N57097', 'N1034', 'N64916']"
U43542,N40839 N63970,N40839,"['N40839', 'N63970']"
U6474,N55689 N45270,N55689,"['N55689', 'N45270']"
U29169,N7319 N63970 N62360 N20069,N7319,"['N7319', 'N63970', 'N62360', 'N20069']"
U31437,N55689 N35729 N59981 N7809,N35729,"['N55689', 'N35729', 'N59981', 'N7809']"
U12652,N55689 N40300,N40300,"['N55689', 'N40300']"
U31678,N49180 N7319 N50675 N33619,N33619,"['N49180', 'N7319', 'N50675', 'N33619']"
U86756,N35729 N59981 N21707,N35729,"['N35729', 'N59981', 'N21707']"
U16370,N16844 N4642,N16844,"['N16844', 'N4642']"
U27947,N34048 N28523 N55563 N27198 N35112,N28523,"['N34048', 'N28523', 'N55563', 'N27198', 'N35112']"
U70791,N50675 N36789 N33619,N33619,"['N50675', 'N36789', 'N33619']"
U87994,N60128 N21882 N6960 N24759,N6960,"['N60128', 'N21882', 'N6960', 'N24759']"
U69965,N55689 N23414 N13930,N23414,"['N55689', 'N23414', 'N13930']"
U22249,N35170 N47061,N47061,"['N35170', 'N47061']"
U89833,N52622 N55689,N52622,"['N52622', 'N55689']"
U89298,N52122 N62360,N52122,"['N52122', 'N62360']"
U86959,N44651 N49279 N61022,N49279,"['N44651', 'N49279', 'N61022']"
U4014,N50675 N23429 N33619,N33619,"['N50675', 'N23429', 'N33619']"
U92395,N56598 N35729 N55689,N55689,"['N56598', 'N35729', 'N55689']"
U85609,N62729 N12042,N62729,"['N62729', 'N12042']"
U871,N61740 N61233,N61233,"['N61740', 'N61233']"
U75863,N61233 N14478 N19661 N41934 N33828,N61233,"['N61233', 'N14478', 'N19661', 'N41934', 'N33828']"
U25406,N58363 N63970,N58363,"['N58363', 'N63970']"
U14377,N55689 N23414 N38662 N55204 N13930,N55689,"['N55689', 'N23414', 'N38662', 'N55204', 'N13930']"
U22672,N53585 N55689 N23414,N53585 N23414,"['N53585', 'N55689', 'N23414']"
U11503,N21707 N55689 N35729 N59981,N55689,"['N21707', 'N55689', 'N35729', 'N59981']"
U92049,N51048 N13094,N51048,"['N51048', 'N13094']"
U45893,N46029 N23414,N23414,"['N46029', 'N23414']"
U53319,N33632 N35729 N49685 N27581,N49685,"['N33632', 'N35729', 'N49685', 'N27581']"
U76508,N287 N25324,N287,"['N287', 'N25324']"
U73056,N27845 N41881,N41881,"['N27845', 'N41881']"
U54814,N6578 N46821,N46821,"['N6578', 'N46821']"
U56560,N59981 N21707 N55689 N35729,N35729,"['N59981', 'N21707', 'N55689', 'N35729']"
U16248,N64851 N12493,N12493,"['N64851', 'N12493']"
U30959,N61768 N61022,N61768,"['N61768', 'N61022']"
U73768,N31273 N49685,N49685,"['N31273', 'N49685']"
U7267,N23414 N55689,N55689,"['N23414', 'N55689']"
U3263,N57426 N41172 N13579 N59088,N13579,"['N57426', 'N41172', 'N13579', 'N59088']"
U57867,N61022 N21882 N49279,N49279,"['N61022', 'N21882', 'N49279']"
U80858,N52122 N62360,N52122,"['N52122', 'N62360']"
U20833,N3697 N55689 N2878,N55689,"['N3697', 'N55689', 'N2878']"
U41642,N45266 N47061 N287 N51048,N287,"['N45266', 'N47061', 'N287', 'N51048']"
U35683,N1034 N61022,N61022,"['N1034', 'N61022']"
U43344,N41881 N27845,N41881,"['N41881', 'N27845']"
U34516,N35729 N33632 N27581 N57090,N35729,"['N35729', 'N33632', 'N27581', 'N57090']"
U92849,N24272 N41178 N41881 N27845,N41881,"['N24272', 'N41178', 'N41881', 'N27845']"
U45411,N20678 N46607,N46607,"['N20678', 'N46607']"
U49848,N13930 N23414 N55689,N23414,"['N13930', 'N23414', 'N55689']"
U61046,N63970 N58363 N40839 N27560,N63970,"['N63970', 'N58363', 'N40839', 'N27560']"
U90928,N17419 N6953,N6953,"['N17419', 'N6953']"
U27019,N35729 N27581 N55689 N6693,N55689,"['N35729', 'N27581', 'N55689', 'N6693']"
U77257,N7821 N33885 N17059 N12029,N7821,"['N7821', 'N33885', 'N17059', 'N12029']"
U14768,N63970 N58363,N58363,"['N63970', 'N58363']"
U4462,N1034 N64916 N61022 N61768,N61022,"['N1034', 'N64916', 'N61022', 'N61768']"
U66026,N53585 N8191 N46526 N41222 N30518,N53585,"['N53585', 'N8191', 'N46526', 'N41222', 'N30518']"
U27986,N45704 N6890,N6890,"['N45704', 'N6890']"
U2773,N49279 N61022 N44651,N49279,"['N49279', 'N61022', 'N44651']"
U65484,N27845 N41881,N41881,"['N27845', 'N41881']"
U79149,N55689 N6693,N55689,"['N55689', 'N6693']"
U40488,N33632 N57090 N27581,N27581,"['N33632', 'N57090', 'N27581']"
U67951,N20495 N33677,N20495,"['N20495', 'N33677']"
U85223,N45270 N55689 N55204,N55689,"['N45270', 'N55689', 'N55204']"
U49508,N45270 N21707 N55204 N43502 N59981,N45270,"['N45270', 'N21707', 'N55204', 'N43502', 'N59981']"
U25870,N7809 N55689 N35729 N59981,N55689,"['N7809', 'N55689', 'N35729', 'N59981']"
U15038,N40109 N50872,N40109,"['N40109', 'N50872']"
U55145,N53585 N55689 N45270,N53585,"['N53585', 'N55689', 'N45270']"
U11669,N41881 N27845,N41881,"['N41881', 'N27845']"
U42005,N53585 N55689 N13930 N55204 N23414,N55689,"['N53585', 'N55689', 'N13930', 'N55204', 'N23414']"
U62657,N59981 N21707 N55689 N35729,N35729,"['N59981', 'N21707', 'N55689', 'N35729']"
U80988,N55689 N13930 N53585 N23414,N23414,"['N55689', 'N13930', 'N53585', 'N23414']"
U75616,N46489 N39115,N39115,"['N46489', 'N39115']"
U87254,N20079 N47578 N50675 N33619,N33619,"['N20079', 'N47578', 'N50675', 'N33619']"
U6119,N38779 N6578,N6578,"['N38779', 'N6578']"
U74538,N19464 N287,N287,"['N19464', 'N287']"
U49476,N53585 N55689 N52622 N55204,N53585,"['N53585', 'N55689', 'N52622', 'N55204']"
U60594,N55689 N23414 N53585,N53585,"['N55689', 'N23414', 'N53585']"
U82767,N64851 N12493,N12493,"['N64851', 'N12493']"
U60064,N33619 N50675,N33619,"['N33619', 'N50675']"
U67762,N56214 N4642,N56214,"['N56214', 'N4642']"
U75415,N42977 N33885 N7821 N12029,N12029,"['N42977', 'N33885', 'N7821', 'N12029']"
U5137,N35729 N42961 N27581 N55689,N35729,"['N35729', 'N42961', 'N27581', 'N55689']"
U84299,N63970 N58363,N58363,"['N63970', 'N58363']"
U55696,N39774 N25295,N25295,"['N39774', 'N25295']"
U12960,N47061 N287,N287,"['N47061', 'N287']"
U93306,N60747 N60750,N60750,"['N60747', 'N60750']"
U110,N61768 N61022,N61768,"['N61768', 'N61022']"
U15919,N4642 N51048 N56214 N8509,N56214,"['N4642', 'N51048', 'N56214', 'N8509']"
U7981,N56214 N42457 N51048 N64252 N13094,N42457,"['N56214', 'N42457', 'N51048', 'N64252', 'N13094']"
U40432,N36789 N62395 N56243,N56243,"['N36789', 'N62395', 'N56243']"
U70883,N63970 N58363,N58363,"['N63970', 'N58363']"
U63906,N53585 N55689 N55204,N53585,"['N53585', 'N55689', 'N55204']"
U11132,N36681 N10386 N61022 N57651 N59390,N57651,"['N36681', 'N10386', 'N61022', 'N57651', 'N59390']"
U70636,N50872 N40109,N40109,"['N50872', 'N40109']"
U69018,N287 N64094 N39010 N51048,N287,"['N287', 'N64094', 'N39010', 'N51048']"
U1975,N36681 N49685,N49685,"['N36681', 'N49685']"
U84228,N33619 N50675,N33619,"['N33619', 'N50675']"
U37576,N20678 N64745 N31978 N20915,N20915,"['N20678', 'N64745', 'N31978', 'N20915']"
U41654,N41881 N51398,N41881,"['N41881', 'N51398']"
U89235,N20495 N33885,N33885,"['N20495', 'N33885']"
U59847,N52203 N49685 N5497,N49685,"['N52203', 'N49685', 'N5497']"
U39794,N61233 N33828,N61233,"['N61233', 'N33828']"
U29542,N41881 N27845,N41881,"['N41881', 'N27845']"
U986,N55689 N23414 N13930,N23414,"['N55689', 'N23414', 'N13930']"
U2226,N39471 N49279,N49279,"['N39471', 'N49279']"
U67837,N36681 N57651 N49685,N49685,"['N36681', 'N57651', 'N49685']"
U10300,N42457 N56214,N56214,"['N42457', 'N56214']"
U4560,N42143 N47061 N6772 N35847,N42143,"['N42143', 'N47061', 'N6772', 'N35847']"
U54505,N47061 N45266,N47061,"['N47061', 'N45266']"
U3790,N39010 N47061,N47061,"['N39010', 'N47061']"
U89151,N57032 N19661,N19661,"['N57032', 'N19661']"
U78339,N62360 N7319 N63970 N20069,N63970,"['N62360', 'N7319', 'N63970', 'N20069']"
U42076,N23814 N50872,N23814,"['N23814', 'N50872']"
U11250,N50872 N23446 N40109 N38779,N50872,"['N50872', 'N23446', 'N40109', 'N38779']"
U4754,N26607 N43432 N6099,N43432,"['N26607', 'N43432', 'N6099']"
U38256,N38783 N33981 N41881 N63583,N41881,"['N38783', 'N33981', 'N41881', 'N63583']"
U30642,N49279 N61022 N64513 N21882,N49279 N61022,"['N49279', 'N61022', 'N64513', 'N21882']"
U28574,N24686 N31504 N2350 N33619,N33619,"['N24686', 'N31504', 'N2350', 'N33619']"
U21980,N35729 N63550 N59981 N7809,N35729,"['N35729', 'N63550', 'N59981', 'N7809']"
U67928,N27845 N41881 N41178 N24272,N41881,"['N27845', 'N41881', 'N41178', 'N24272']"
U62342,N3031 N42457,N42457,"['N3031', 'N42457']"
U47329,N50675 N33619 N20079 N47578,N33619,"['N50675', 'N33619', 'N20079', 'N47578']"
U50690,N47061 N42977,N42977,"['N47061', 'N42977']"
U19887,N4642 N56214,N56214,"['N4642', 'N56214']"
U21225,N42634 N58363 N63970 N40839,N58363,"['N42634', 'N58363', 'N63970', 'N40839']"
U84871,N4642 N56214,N56214,"['N4642', 'N56214']"
U51611,N6578 N38779,N6578,"['N6578', 'N38779']"
U28105,N33619 N20079,N20079,"['N33619', 'N20079']"
U28119,N64851 N63970 N40839 N58363,N58363,"['N64851', 'N63970', 'N40839', 'N58363']"
U58364,N41178 N24272 N41881 N27845,N27845,"['N41178', 'N24272', 'N41881', 'N27845']"
U7575,N63970 N58363,N58363,"['N63970', 'N58363']"
U39676,N41881 N3491,N3491,"['N41881', 'N3491']"
U24260,N24272 N41881 N27845,N27845,"['N24272', 'N41881', 'N27845']"
U51783,N39700 N33291,N33291,"['N39700', 'N33291']"
U51126,N23414 N17183 N3474 N2,N17183,"['N23414', 'N17183', 'N3474', 'N2']"
U10801,N13930 N55204 N38662,N13930,"['N13930', 'N55204', 'N38662']"
U5829,N61032 N23184 N39774 N4642,N4642,"['N61032', 'N23184', 'N39774', 'N4642']"
U6732,N40839 N63970 N58363 N64851,N58363,"['N40839', 'N63970', 'N58363', 'N64851']"
U53077,N287 N39010,N287,"['N287', 'N39010']"
U33118,N46029 N54489 N23414,N23414,"['N46029', 'N54489', 'N23414']"
U4914,N49685 N48759 N31273 N56193,N49685,"['N49685', 'N48759', 'N31273', 'N56193']"
U92798,N40839 N27560 N58363 N62360 N63970,N63970,"['N40839', 'N27560', 'N58363', 'N62360', 'N63970']"
U81648,N63550 N59981 N35729 N7809,N35729,"['N63550', 'N59981', 'N35729', 'N7809']"
U51878,N55689 N13930 N53585,N53585,"['N55689', 'N13930', 'N53585']"
U82738,N55689 N53585 N23414,N23414,"['N55689', 'N53585', 'N23414']"
U20601,N20495 N33885,N33885,"['N20495', 'N33885']"
U82604,N16920 N36789,N36789,"['N16920', 'N36789']"
U31854,N55689 N6693 N35729 N27581,N55689,"['N55689', 'N6693', 'N35729', 'N27581']"
U87454,N51048 N53848,N53848,"['N51048', 'N53848']"
U11565,N57957 N55204 N38662 N55689 N13930,N13930,"['N57957', 'N55204', 'N38662', 'N55689', 'N13930']"
U22342,N61022 N49279,N49279,"['N61022', 'N49279']"
U32678,N51398 N41881,N41881,"['N51398', 'N41881']"
U73604,N61233 N60750 N46917,N60750,"['N61233', 'N60750', 'N46917']"
U9404,N39774 N4642 N25295 N61032 N287,N4642,"['N39774', 'N4642', 'N25295', 'N61032', 'N287']"
U19953,N13930 N55689 N55204 N23414 N38662,N55689,"['N13930', 'N55689', 'N55204', 'N23414', 'N38662']"
U91611,N56214 N42457,N42457,"['N56214', 'N42457']"
U30892,N46029 N41222 N23414 N53585 N54489,N23414,"['N46029', 'N41222', 'N23414', 'N53585', 'N54489']"
U70822,N56214 N4642,N56214,"['N56214', 'N4642']"
U25815,N49279 N61022,N49279,"['N49279', 'N61022']"
U39183,N21707 N55689 N55204 N53585 N52622,N55689 N53585,"['N21707', 'N55689', 'N55204', 'N53585', 'N52622']"
U6933,N55689 N23414 N53585,N23414,"['N55689', 'N23414', 'N53585']"
U62125,N53585 N55689,N53585,"['N53585', 'N55689']"
U30945,N53585 N13930 N41222 N30518 N46526,N53585,"['N53585', 'N13930', 'N41222', 'N30518', 'N46526']"
U8280,N64851 N12493 N63970 N58363,N58363,"['N64851', 'N12493', 'N63970', 'N58363']"
U69908,N55689 N35729,N55689,"['N55689', 'N35729']"
U55275,N17059 N7821 N20495 N33677,N7821,"['N17059', 'N7821', 'N20495', 'N33677']"
U14490,N63583 N51398,N63583,"['N63583', 'N51398']"
U75116,N53585 N54489 N23414 N46526 N46029,N54489,"['N53585', 'N54489', 'N23414', 'N46526', 'N46029']"
U92954,N7319 N33619 N49180 N50675,N33619,"['N7319', 'N33619', 'N49180', 'N50675']"
U75429,N38783 N43377 N63583 N41881,N63583,"['N38783', 'N43377', 'N63583', 'N41881']"
U53851,N35170 N45266 N42977 N47061,N45266,"['N35170', 'N45266', 'N42977', 'N47061']"
U57103,N4642 N56214,N56214,"['N4642', 'N56214']"
U58653,N56214 N4642 N51048 N36221,N4642,"['N56214', 'N4642', 'N51048', 'N36221']"
U25941,N58363 N63970,N63970,"['N58363', 'N63970']"
U13177,N53585 N26331,N53585,"['N53585', 'N26331']"
U83211,N36599 N12029,N12029,"['N36599', 'N12029']"
U15553,N555 N10688 N64945,N10688,"['N555', 'N10688', 'N64945']"
U80301,N21707 N55204 N45270 N43502 N55689,N45270,"['N21707', 'N55204', 'N45270', 'N43502', 'N55689']"
U61519,N40495 N50060 N7840,N7840,"['N40495', 'N50060', 'N7840']"
U80625,N63970 N40839,N63970,"['N63970', 'N40839']"
U26813,N12493 N64851,N12493,"['N12493', 'N64851']"
U27258,N41881 N51398,N41881,"['N41881', 'N51398']"
U75998,N55689 N6693,N55689,"['N55689', 'N6693']"
U72661,N53585 N52622 N55689 N55204,N53585 N55689,"['N53585', 'N52622', 'N55689', 'N55204']"
U37236,N40109 N50872 N25165,N40109,"['N40109', 'N50872', 'N25165']"
U33399,N55689 N53585,N53585,"['N55689', 'N53585']"
U74403,N51133 N51489,N51133,"['N51133', 'N51489']"
U84454,N36624 N53848 N51048,N36624,"['N36624', 'N53848', 'N51048']"
U47271,N36681 N57651 N49685,N49685,"['N36681', 'N57651', 'N49685']"
U42523,N53585 N55689,N53585,"['N53585', 'N55689']"
U718,N38779 N23446,N23446,"['N38779', 'N23446']"
U58187,N41934 N61233,N61233,"['N41934', 'N61233']"
U90972,N4642 N51048 N8509 N56214 N20746,N8509,"['N4642', 'N51048', 'N8509', 'N56214', 'N20746']"
U86487,N4642 N56214,N4642,"['N4642', 'N56214']"
U77473,N50872 N47652,N47652,"['N50872', 'N47652']"
U63148,N55689 N59981 N35729 N21707,N35729,"['N55689', 'N59981', 'N35729', 'N21707']"
U67937,N61027 N57426 N28523 N56214,N28523,"['N61027', 'N57426', 'N28523', 'N56214']"
U36899,N55689 N35729,N55689,"['N55689', 'N35729']"
U8478,N62360 N41020 N52122 N49180,N62360,"['N62360', 'N41020', 'N52122', 'N49180']"
U7884,N50675 N7319 N33619,N33619,"['N50675', 'N7319', 'N33619']"
U22472,N42961 N35729 N27581 N55689,N35729 N55689,"['N42961', 'N35729', 'N27581', 'N55689']"
U19335,N50872 N16118,N16118,"['N50872', 'N16118']"
U23171,N55689 N35729,N55689,"['N55689', 'N35729']"
U15222,N38311 N35729,N35729,"['N38311', 'N35729']"
U61975,N23414 N53585,N53585,"['N23414', 'N53585']"
U72858,N31679 N50872 N20676,N50872,"['N31679', 'N50872', 'N20676']"
U48154,N63970 N58363,N58363,"['N63970', 'N58363']"
U19571,N58363 N63970,N58363,"['N58363', 'N63970']"
U79278,N13930 N23414 N55689 N55204 N53585,N55689,"['N13930', 'N23414', 'N55689', 'N55204', 'N53585']"
U70871,N41881 N51398,N41881,"['N41881', 'N51398']"
U45956,N49685 N36712 N57090 N48606,N49685,"['N49685', 'N36712', 'N57090', 'N48606']"
U52041,N48958 N47020 N1034,N47020,"['N48958', 'N47020', 'N1034']"
U85705,N59390 N44651 N61022,N61022,"['N59390', 'N44651', 'N61022']"
U40913,N57090 N33632 N35729 N27581,N35729,"['N57090', 'N33632', 'N35729', 'N27581']"
U83331,N55689 N55204 N23414 N38662 N13930,N13930,"['N55689', 'N55204', 'N23414', 'N38662', 'N13930']"
U45090,N37242 N50872,N37242,"['N37242', 'N50872']"
U7326,N57651 N49685 N36681,N49685,"['N57651', 'N49685', 'N36681']"
U14,N64851 N58363,N64851,"['N64851', 'N58363']"
U46971,N27581 N35729 N49685 N33632,N49685,"['N27581', 'N35729', 'N49685', 'N33632']"
U5530,N47061 N287,N287,"['N47061', 'N287']"
U17207,N50675 N33619,N33619,"['N50675', 'N33619']"
U29659,N12029 N17059,N17059,"['N12029', 'N17059']"
U8533,N14478 N61233,N14478,"['N14478', 'N61233']"
U51237,N35729 N55689,N55689,"['N35729', 'N55689']"
U18969,N55689 N23414 N53585,N23414,"['N55689', 'N23414', 'N53585']"
U88826,N12493 N58363 N64851 N63970,N64851,"['N12493', 'N58363', 'N64851', 'N63970']"
U4268,N19661 N57032,N19661,"['N19661', 'N57032']"
U25040,N39010 N287,N287,"['N39010', 'N287']"
U38127,N19592 N4642,N19592,"['N19592', 'N4642']"
U22398,N39471 N350 N37394 N45428 N12579,N45428,"['N39471', 'N350', 'N37394', 'N45428', 'N12579']"
U29672,N35729 N57090 N27581 N33632,N33632,"['N35729', 'N57090', 'N27581', 'N33632']"
U79674,N54489 N30518 N41222 N46526 N53585,N53585,"['N54489', 'N30518', 'N41222', 'N46526', 'N53585']"
U38902,N55689 N52622,N52622,"['N55689', 'N52622']"
U88494,N33632 N35729,N35729,"['N33632', 'N35729']"
U39662,N41222 N54489 N53585,N53585,"['N41222', 'N54489', 'N53585']"
U12638,N47061 N59673 N287 N51048,N287,"['N47061', 'N59673', 'N287', 'N51048']"
U34239,N55689 N6693,N55689,"['N55689', 'N6693']"
U40937,N46917 N60750 N47280,N60750,"['N46917', 'N60750', 'N47280']"
U5614,N51048 N64094 N39010 N13907,N51048,"['N51048', 'N64094', 'N39010', 'N13907']"
U16078,N35729 N27581 N57090,N35729,"['N35729', 'N27581', 'N57090']"
U69247,N55689 N48572,N55689,"['N55689', 'N48572']"
U93283,N51398 N41881,N41881,"['N51398', 'N41881']"
U79875,N55689 N53585,N53585,"['N55689', 'N53585']"
U39737,N55689 N52622,N52622,"['N55689', 'N52622']"
U35699,N21863 N28987 N4241,N4241,"['N21863', 'N28987', 'N4241']"
U55646,N43670 N43638,N43670,"['N43670', 'N43638']"
U50448,N61233 N61740,N61233,"['N61233', 'N61740']"
U351,N25295 N51048 N26025 N33501,N51048,"['N25295', 'N51048', 'N26025', 'N33501']"
U30504,N42457 N3031 N51048 N49712 N56214,N42457 N56214,"['N42457', 'N3031', 'N51048', 'N49712', 'N56214']"
U40750,N35729 N55689,N55689,"['N35729', 'N55689']"
U63123,N41881 N64734 N55645 N46175,N41881,"['N41881', 'N64734', 'N55645', 'N46175']"
U42230,N55689 N6379,N55689,"['N55689', 'N6379']"
U55408,N46029 N8191 N23414 N54489,N23414,"['N46029', 'N8191', 'N23414', 'N54489']"
U62311,N61022 N49279 N44651,N49279,"['N61022', 'N49279', 'N44651']"
U90326,N12042 N62729,N62729,"['N12042', 'N62729']"
U19040,N21656 N64152 N53012 N63154 N6056,N6056,"['N21656', 'N64152', 'N53012', 'N63154', 'N6056']"
U14014,N6578 N38779,N6578,"['N6578', 'N38779']"
U2145,N38779 N40109,N40109,"['N38779', 'N40109']"
U81656,N13930 N23414 N55689,N23414,"['N13930', 'N23414', 'N55689']"
U47524,N55689 N35729,N55689,"['N55689', 'N35729']"
U62371,N35729 N55689,N55689,"['N35729', 'N55689']"
U53448,N56214 N4642,N56214,"['N56214', 'N4642']"
U77543,N12029 N42977,N12029,"['N12029', 'N42977']"
U53988,N6693 N55689,N55689,"['N6693', 'N55689']"
U76774,N52000 N27845 N41881 N51398,N41881,"['N52000', 'N27845', 'N41881', 'N51398']"
U63764,N55689 N53585 N52622 N55204,N53585,"['N55689', 'N53585', 'N52622', 'N55204']"
U64568,N7821 N12029 N33677 N33885,N33885,"['N7821', 'N12029', 'N33677', 'N33885']"
U7197,N39010 N47061,N47061,"['N39010', 'N47061']"
U85891,N49279 N61022,N49279,"['N49279', 'N61022']"
U8520,N3449 N43370 N63583 N58140,N63583,"['N3449', 'N43370', 'N63583', 'N58140']"
U81549,N52289 N28585,N52289,"['N52289', 'N28585']"
U65038,N5737 N55186,N5737,"['N5737', 'N55186']"
U82149,N61022 N61768 N57097 N64916,N61768,"['N61022', 'N61768', 'N57097', 'N64916']"
U72554,N49180 N33619 N41020 N7319,N33619,"['N49180', 'N33619', 'N41020', 'N7319']"
U47255,N35729 N6693,N35729,"['N35729', 'N6693']"
U29480,N61022 N44651 N49279,N49279,"['N61022', 'N44651', 'N49279']"
U79549,N43748 N64397 N57385,N43748,"['N43748', 'N64397', 'N57385']"
U85606,N4642 N25295,N25295,"['N4642', 'N25295']"
U25988,N35729 N55689,N55689,"['N35729', 'N55689']"
U26872,N51048 N42457 N56214 N49712 N3031,N42457,"['N51048', 'N42457', 'N56214', 'N49712', 'N3031']"
U46437,N35729 N55689 N6693 N27581,N55689 N6693,"['N35729', 'N55689', 'N6693', 'N27581']"
U53662,N55204 N38662 N13930 N23414 N55689,N23414,"['N55204', 'N38662', 'N13930', 'N23414', 'N55689']"
U86603,N35729 N55689,N55689,"['N35729', 'N55689']"
U36339,N8191 N46526 N54489,N8191 N54489,"['N8191', 'N46526', 'N54489']"
U30648,N40109 N50872,N40109,"['N40109', 'N50872']"
U62608,N23446 N45523 N1539 N29212,N23446,"['N23446', 'N45523', 'N1539', 'N29212']"
U51819,N56214 N4642,N56214,"['N56214', 'N4642']"
